matchdate,ko,hometeam,awayteam,week,matchhomescore,matchawayscore
06/02/2015,20:05,Wales,England,1
07/02/2015,14:30,Italy,Ireland,1
07/02/2015,17:00,France,Scotland,1
14/02/2015,14:30,England,Italy,2
14/02/2015,17:00,Ireland,France,2
15/02/2015,15:00,Scotland,Wales,2
28/02/2015,14:30,Scotland,Italy,3
28/02/2015,17:00,France,Wales,3
01/03/2015,15:00,Ireland,England,3
14/03/2015,14:30,Wales,Ireland,4
14/03/2015,17:00,England,Scotland,4
15/03/2015,15:00,Italy,France,4
21/03/2015,12:30,Italy,Wales,5
21/03/2015,14:30,Scotland,Ireland,5
21/03/2015,17:00,England,France,5
